ip,continent,country,site,min_rtt_ms,avg_rtt_ms,max_rtt_ms,latitude,longitude
speedtest.ams2.nl.leaseweb.net,Europe,NL,Amsterdam,119.766,175.044,332.269,52.3676,4.90414
ams.speedtest.clouvider.net,Europe,NL,Amsterdam,121.014,148.419,212.684,52.3716,4.8883
ping-ams1.online.net,Europe,NL,Amsterdam,135.033,198.082,275.761,52.3803,4.6422
a204.speedtest.wobcom.de,Europe,NL,Amsterdam,118.263,142.109,208.806,52.4041,10.7532
185.102.218.1,Europe,NL,Amsterdam,121.040,157.272,264.177,52.3716,4.8883
iperf-ams-nl.eranium.net,Europe,NL,Amsterdam,120.211,147.409,201.980,52.3676,4.90414
speedtest.netone.nl,Europe,NL,Amsterdam,120.709,146.349,195.319,52.3716,4.8883
lg.ams-nl.gigahost.no,Europe,NL,Amsterdam,142.789,229.090,419.490,59.1728,10.2221
speedtest.nl1.mirhosting.net,Europe,NL,Dronten,120.006,143.669,203.364,52.5378,5.6966
nl.speed.vps1.net,Europe,NL,Dronten,118.751,176.398,337.058,52.5347,5.72181
iperf1.surfwireless.nl,Europe,NL,Lelystad,123.210,154.554,210.725,52.0907,5.12142
iperf.worldstream.nl,Europe,NL,Naaldwijk,126.378,163.430,255.762,51.9968,4.2057
lg.gigahost.no,Europe,NO,Sandefjord,138.387,159.295,214.242,59.1728,10.2221
speedsrv.multinet24.pl,Europe,PL,Debica,141.297,175.166,251.321,50.045,21.3996
185.246.208.67,Europe,PL,Warsaw,137.292,171.113,244.094,52.2299,21.0093
109.61.94.65,Europe,PT,Lisbon,148.623,177.650,280.724,38.7294,-9.1538
185.102.217.170,Europe,RO,Bucharest,152.884,191.466,294.340,44.4291,26.1006
speedtest1.sox.rs,Europe,RS,Belgrade,150.586,208.354,322.555,44.8125,20.4612
iperf.fegis.nu,Europe,SE,Alvsjo,135.897,192.606,384.961,58.5019,13.1585
speedtest.kamel.network,Europe,SE,Kista,135.933,160.861,267.062,59.2387,18.2266
185.76.9.135,Europe,SE,Stockholm,144.318,185.009,249.693,59.3287,18.0717
156.146.40.65,Europe,SK,Bratislava,145.498,187.871,290.655,48.1504,17.1081
37.19.218.65,Europe,UA,Kyiv,158.559,198.608,267.226,50.458,30.5303
speed.cosmonova.net,Europe,UA,Kyiv,155.826,185.314,246.946,50.458,30.5303
148.230.60.200,Latin America,BR,Sao Paulo,160.269,189.911,251.977,-23.5475,-46.6361
138.199.4.1,Latin America,BR,São Paulo,160.967,189.713,262.510,-23.5475,-46.6361
79.127.209.1,Latin America,CL,Santiago,162.825,208.607,361.365,-33.4521,-70.6536
156.146.53.53,Latin America,CR,San Jose,71.192,98.295,169.179,37.3388,-121.8916
speedtest.masnet.ec,Latin America,EC,Santa Ana,127.964,169.745,274.814,-1.2043,-80.3717
speedtest1.flowjamaica.com,Latin America,JM,Portmore,73.992,154.707,346.466,17.9697,-77.6028
121.127.43.65,Latin America,MX,Querétaro,67.777,105.252,171.455,15.834,-92.7557
speedtest1.cwpanama.net,Latin America,PA,Colón,99.140,143.787,300.122,8.9948,-79.523
speedtest6.cwpanama.net,Latin America,PA,Panamá,98.856,129.871,189.517,8.9948,-79.523
speedtest.mtl2.ca.leaseweb.net,North America,CA,Montreal,46.379,98.010,250.671,45.5019,-73.5674
speedtest.goco.ca,North America,CA,Montreal,50.574,135.432,402.500,45.4977,-73.5709
173.243.131.29,North America,CA,Ottawa,46.349,86.404,191.231,45.413,-75.7011
138.199.57.129,North America,CA,Toronto,38.864,87.156,177.883,43.709,-79.4057
96.45.43.6,North America,CA,Toronto,38.549,61.106,121.850,43.709,-79.4057
204.155.243.172,North America,CA,Toronto,38.801,79.665,159.167,43.709,-79.4057
66.35.30.9,North America,CA,Vancouver,64.185,83.942,133.331,49.2476,-123.1234
speed.couch.ca,North America,CA,Victoria,NA,NA,NA,50.7033,-119.2683
yyc-speedtest.xplore.ca,North America,CA,Woodstock,72.821,89.254,152.080,51.053,-114.1361
ash.speedtest.clouvider.net,North America,US,Ashburn,47.155,62.618,112.211,39.018,-77.539
37.19.206.20,North America,US,Ashburn,46.854,69.518,134.403,39.0469,-77.4903
66.35.22.79,North America,US,Ashburn,44.790,81.227,126.067,39.0469,-77.4903
atl.speedtest.clouvider.net,North America,US,Atlanta,45.313,76.952,166.839,33.7485,-84.3871
185.152.66.67,North America,US,Atlanta,44.556,64.316,136.467,33.7485,-84.3871
109.61.86.65,North America,US,Boston,50.356,73.928,140.930,42.3602,-71.0594
speedtest.chi11.us.leaseweb.net,North America,US,Chicago,30.023,62.144,159.183,41.874,-88.0038
185.93.1.65,North America,US,Chicago,28.206,43.014,101.038,41.8483,-87.6517
chi.speedtest.clouvider.net,North America,US,Chicago,28.620,44.503,106.045,41.871,-87.6289
speedtest.dal13.us.leaseweb.net,North America,US,Dallas,45.000,65.496,125.973,32.7908,-96.8336
dal.speedtest.clouvider.net,North America,US,Dallas,45.757,89.570,166.051,32.7908,-96.8336
89.187.164.1,North America,US,Dallas,45.632,130.420,369.848,32.7797,-96.8022
dfw.speedtest.is.cc,North America,US,Dallas,40.813,59.966,154.220,40.7862,-74.0743
66.35.27.207,North America,US,Dallas,41.023,61.355,100.935,32.7797,-96.8022
37.19.216.1,North America,US,Houston,51.365,82.891,134.622,29.7646,-95.3657
speedtest.nocix.net,North America,US,Kansas City,40.370,74.541,185.415,39.1027,-94.5778
la.speedtest.clouvider.net,North America,US,Los Angeles,71.670,113.135,217.351,34.0609,-118.2414
speedtest.lax12.us.leaseweb.net,North America,US,Los Angeles,71.593,110.290,229.903,32.7908,-96.8336
185.152.67.2,North America,US,Los Angeles,72.369,91.858,144.039,34.0544,-118.244
speedtest.mia11.us.leaseweb.net,North America,US,Miami,62.786,86.118,146.770,25.7701,-80.1928
195.181.162.195,North America,US,Miami,57.623,79.984,114.045,25.7701,-80.1928
23.249.54.234,North America,US,Miami,58.787,113.039,209.598,25.7701,-80.1928
spd-uswb.hostkey.com,North America,US,New York,NA,NA,NA,40.7126,-74.0066
185.59.223.8,North America,US,New York,44.225,73.370,137.970,40.7126,-74.0066
speedtest.nyc1.us.leaseweb.net,North America,US,New York City,45.271,58.653,136.552,40.7126,-74.0066
speedtest.phx1.us.leaseweb.net,North America,US,Phoenix,72.530,94.667,146.222,33.5111,-111.9075
phx.speedtest.clouvider.net,North America,US,Phoenix,67.973,126.708,205.484,33.4413,-112.0421
209.40.123.215,North America,US,Plano,42.337,59.100,104.199,32.7797,-96.8022
speedtest.xmission.com,North America,US,Salt Lake,54.841,80.129,145.214,39.321,-111.094
speedtest.sfo12.us.leaseweb.net,North America,US,San Francisco,68.298,172.340,319.407,37.3388,-121.8916
66.35.20.123,North America,US,San Jose,64.155,110.051,179.435,37.3388,-121.8916
148.230.59.38,North America,US,San Jose,63.002,110.400,256.750,37.3388,-121.8916
speedtest.sea11.us.leaseweb.net,North America,US,Seattle,65.167,95.050,169.188,47.6109,-122.3303
84.17.41.11,North America,US,Seattle,61.954,77.855,129.401,47.6109,-122.3303
speedtest.wdc2.us.leaseweb.net,North America,US,Washington,45.788,78.081,152.991,38.7493,-77.4719
speedtest.syd12.au.leaseweb.net,Oceania,AU,Sydney,339.273,386.409,466.746,-33.8229,151.1886
143.244.63.144,Oceania,AU,Sydney,194.200,240.492,452.149,-33.8672,151.1997
syd.proof.ovh.net,Oceania,AU,Sydney,322.112,352.028,403.193,-33.8672,151.1997
96.45.44.87,Oceania,AU,Sydney,189.733,211.004,276.960,-33.8672,151.1997
speedtest.lagoon.nc,Oceania,NC,Noumea,254.700,319.153,411.783,-22.2665,166.4742
akl.linetest.nz,Oceania,NZ,Auckland,191.655,235.499,292.991,-37.3657,175.6716
72.1.86.46,Oceania,NZ,Auckland,192.126,211.877,261.765,-36.8504,174.7675
chch.linetest.nz,Oceania,NZ,Christchurch,218.625,251.356,308.231,-37.3657,175.6716
154.81.51.4,Oceania,PG,Port Moresby,NA,NA,NA,-33.8688,151.209
103.146.200.98,Oceania,PG,Port Moresby,312.894,312.894,312.894,-9.43529,147.18
